cat	year	split			URL	Final AGENT	Final EVENTS	Final WORLD	Final Composite	3rd person	Adjudicated AGENTS	Adjudicated EVENTS	Adjudicated WORLD	MEAN	STDEV	Agents mean	Events mean	World mean	Agents std	Events std	World std	A1 average	A1 agents	A1 events	A1 world	A2 average	A2 agents	A2 events	A2 world	A3 average	A3 agents	A3 events	A3 world
Billboard	1993	train	DJ Jazzy Jeff & The Fresh Prince	Boom! Shake the Room	https://www.azlyrics.com/lyrics/djjazzyjeffthefreshprince/boomshaketheroom.html	4.33	4.33	3.67	4.110					4.11	0.68	4.33	4.33	3.67	0.47	0.47	1.25	3.33	4	4	2	4	4	4	4	5	5	5	5
Grammy_NOM	2023	train	DJ Khaled	God Did	https://www.azlyrics.com/lyrics/djkhaled/goddid.html	4.67	3.67	3	3.780					3.78	0.96	4.67	3.67	3	0.47	1.25	1.63	5	5	5	5	2.67	5	2	1	3.67	4	4	3
Grammy_ALT	2023	test	DJ Khaled	It Ain't Safe	https://www.azlyrics.com/lyrics/djkhaled/itaintsafe.html	4	4.33	3.67	4.000					4	0.47	4	4.33	3.67	0.82	0.47	0.47	4.67	5	5	4	3.67	3	4	4	3.67	4	4	3
Billboard	2011	test	DJ Khaled featuring Drake, Rick Ross and Lil Wayne	I'm on One	https://www.azlyrics.com/lyrics/djkhaled/imonone.html	5	4	5	4.667					4.67	0.27	5	4	5	0	0.82	0	4.33	5	3	5	5	5	5	5	4.67	5	4	5
Billboard	2018	dev	DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo	No Brainer	https://www.azlyrics.com/lyrics/djkhaled/nobrainer.html	3.67	2	3	2.890					2.89	0.87	3.67	2	3	0.47	0.82	1.41	3.67	4	3	4	1.67	3	1	1	3.33	4	2	4
Grammy_NOM	2022	train	Doja Cat	Kiss Me More	https://www.azlyrics.com/lyrics/dojacat/kissmemore.html	4.67	2.67	4	3.780					3.78	0.16	4.67	2.67	4	0.47	0.94	0	3.67	5	2	4	3.67	5	2	4	4	4	4	4
Grammy_ALT	2022	train	Doja Cat	Need to Know	https://www.azlyrics.com/lyrics/dojacat/needtoknow.html	1.66	2.36	2.69	2.237					3	0.27	3.67	2.67	2.67	0.71	1.41	1.41	3.33	4	2	4	2.67	3	4	1	3	4	2	3
Billboard	2020	train	Doja Cat	Say So	https://www.azlyrics.com/lyrics/dojacat/sayso.html	4	3.67	2.67	3.447					3.44	0.42	4	3.67	2.67	0	1.25	0.47	3	4	2	3	3.33	4	4	2	4	4	5	3
Billboard	2021	train	Doja Cat and the Weeknd	You Right	https://www.azlyrics.com/lyrics/dojacat/youright.html	4.67	3.33	1.67	3.223					3.22	0.96	4.67	3.33	1.67	0.47	1.7	0.94	2	4	1	1	4.33	5	5	3	3.33	5	4	1
Grammy_NOM	1982	test	Dolly Parton	9 to 5	https://www.azlyrics.com/lyrics/dollyparton/9to5.html	5	5	5	5.000	0	5	5	5	4.22	1.1	4	4	4.67	1.41	1.41	0.47	5	5	5	5	2.67	2	2	4	5	5	5	5
Grammy_ALT	1982	dev	Dolly Parton	Working Girl	https://www.azlyrics.com/lyrics/dollyparton/workinggirl.html	5	2	3.67	3.557					3.56	0.96	5	2	3.67	0	1.41	1.89	3.67	5	1	5	2.33	5	1	1	4.67	5	4	5
Grammy_ALT	1986	dev	Don Henley	All She Wants to Do is Dance	https://www.azlyrics.com/lyrics/donhenley/allshewantstodoisdance.html	4	3.67	4.67	4.113					4.11	0.31	4	3.67	4.67	0.82	0.47	0.47	4.33	4	4	5	4.33	5	3	5	3.67	3	4	4
Grammy_ALT	1990	test	Don Henley	I Will Not Go Quietly	https://www.azlyrics.com/lyrics/donhenley/iwillnotgoquietly.html	3.33	3.33	2.33	2.997					3	0.54	3.33	3.33	2.33	1.25	0.94	1.25	2.33	2	4	1	3	5	2	2	3.67	3	4	4
Grammy_NOM	1986	test	Don Henley	The Boys of Summer	https://www.azlyrics.com/lyrics/donhenley/theboysofsummer.html	4.67	5	5	4.890	0				4.89	0.16	4.67	5	5	0.47	0	0	4.67	4	5	5	5	5	5	5	5	5	5	5
Grammy_NOM	1990	test	Don Henley	The End of the Innocence	https://www.azlyrics.com/lyrics/donhenley/theendoftheinnocence.html	3.33	4	5	4.110					4.11	0.57	3.33	4	5	0.94	0.82	0	4.33	4	4	5	4.67	4	5	5	3.33	2	3	5
Grammy_NOM	1973	test	Don McLean	American Pie	https://www.azlyrics.com/lyrics/donmclean/americanpie.html	5	5	5	5.000	0				5	0	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
Grammy_ALT	1973	train	Don McLean	The Grave	https://www.azlyrics.com/lyrics/donmclean/thegrave.html	4.67	4.67	4.67	4.670	1				4.67	0.47	4.67	4.67	4.67	0.47	0.47	0.47	5	5	5	5	4	4	4	4	5	5	5	5
Billboard	1982	test	Donna Summer	Love Is in Control (Finger on the Trigger)	https://www.azlyrics.com/lyrics/donnasummer/loveisincontrol.html	4.33	3.67	3	3.667					3.67	0.72	4.33	3.67	3	0.47	1.25	0.82	2.67	4	2	2	4	4	4	4	4.33	5	5	3
Billboard	1983	train	Donna Summer	She Works Hard for the Money	https://www.azlyrics.com/lyrics/donnasummer/sheworkshardforthemoney.html	1.71	2.83	2.97	2.503					4.33	0.54	4.33	4.33	4.33	0.58	1.15	0.58	3.67	4	3	4	5	5	5	5	4.33	4	5	4
Billboard	1971	train	Donny Osmond	Go Away Little Girl	https://www.azlyrics.com/lyrics/donnyosmond/goawaylittlegirl.html	3.33	1.67	2.33	2.443					2.44	0.87	3.33	1.67	2.33	1.25	0.94	0.94	1.67	3	1	1	2	2	1	3	3.67	5	3	3
Billboard	1995	train	Dr. Dre	Keep Their Heads Ringin'	https://www.azlyrics.com/lyrics/drdre/keeptheirheadsringin.html	4.67	3.67	4	4.113					4.11	0.83	4.67	3.67	4	0.47	1.25	0.82	3	4	2	3	4.33	5	4	4	5	5	5	5
Billboard	1993	train	Dr. Dre	Nuthin' but a 'G' Thang	https://www.azlyrics.com/lyrics/drdre/nuthinbutagthang.html	5	3.67	4.33	4.333					4.33	0.47	5	3.67	4.33	0	1.25	0.47	3.67	5	2	4	4.67	5	5	4	4.67	5	4	5
Billboard	1976	train	Dr. Hook	A Little Bit More	https://www.azlyrics.com/lyrics/drhook/alittlebitmore.html	2	2	2	2.000		2	2	2	3	1.19	3.33	3	2.67	1.25	1.41	1.25	1.33	2	1	1	3.67	3	4	4	4	5	4	3
Grammy_NOM	2019	test	Drake	God's Plan	https://www.azlyrics.com/lyrics/drake/godsplan.html	4	4	4.33	4.110					4.11	0.16	4	4	4.33	0	0	0.47	4.33	4	4	5	4	4	4	4	4	4	4	4
Grammy_ALT	2019	train	Drake	Talk Up	https://www.azlyrics.com/lyrics/drake/talkup.html	3.67	2.67	3.33	3.223					3.22	0.79	3.67	2.67	3.33	1.25	0.47	1.25	4.33	5	3	5	2.67	4	2	2	2.67	2	3	3
Billboard	2016	train	Drake featuring Wizkid and Kyla	One Dance	https://www.azlyrics.com/lyrics/drake/onedance.html	3	1.67	3.67	2.780					2.78	0.16	3	1.67	3.67	0.82	0.47	0.94	2.67	4	1	3	2.67	3	2	3	3	2	2	5
Grammy_NOM	2021	train	Dua Lipa	Don't Start Now	https://www.azlyrics.com/lyrics/dualipa/dontstartnow.html	5	4	2	3.667		5	4	2	3.44	1.5	4	3.33	3	1.41	1.7	1.41	1.33	2	1	1	4.33	5	4	4	4.67	5	5	4
Grammy_ALT	2021	train	Dua Lipa	Love Again	https://www.azlyrics.com/lyrics/dualipa/loveagain.html	3.33	3	1.67	2.667					2.67	0.94	3.33	3	1.67	1.25	1.41	0.94	1.33	2	1	1	3.33	5	4	1	3.33	3	4	3
Billboard	2018	dev	Dua Lipa	New Rules	https://www.azlyrics.com/lyrics/dualipa/newrules.html	4.33	4.33	3	3.887					3.89	0.57	4.33	4.33	3	0.47	0.94	1.41	3.33	5	3	2	3.67	4	5	2	4.67	4	5	5
Billboard	1997	dev	Duncan Sheik	Barely Breathing	https://www.azlyrics.com/lyrics/duncansheik/barelybreathing.html	3.67	3.33	2.33	3.110					3.11	0.63	3.67	3.33	2.33	0.47	0.47	1.25	2.67	4	3	1	2.67	3	3	2	4	4	4	4
Billboard	1983	dev	Duran Duran	Hungry Like the Wolf	https://www.azlyrics.com/lyrics/duranduran/hungrylikethewolf.html	4	2	3	3.000		4	2	3	3.22	1.29	3	2.67	4	1.63	1.7	1.41	2	3	1	2	5	5	5	5	2.67	1	2	5
Billboard	1979	train	Earth, Wind & Fire & The Emotions	Boogie Wonderland	https://www.azlyrics.com/lyrics/earthwindandfire/boogiewonderland.html	1.67	1.67	2.33	1.890					1.89	0.42	1.67	1.67	2.33	0.47	0.47	0.47	2.33	2	2	3	1.33	1	1	2	2	2	2	2
Grammy_NOM	1980	test	Earth, Wind &amp; Fire	After the Love Has Gone	https://www.azlyrics.com/lyrics/earthwindandfire/afterthelovehasgone.html	5	5	3	4.333		5	5	3	3	1.19	3.33	3.67	2	1.7	1.25	0.82	1.33	1	2	1	4	5	5	2	3.67	4	4	3
Grammy_ALT	1980	train	Earth, Wind &amp; Fire	Can't Let Go	https://www.azlyrics.com/lyrics/earthwindandfire/cantletgo.html	2.33	1	1.33	1.553					1.56	0.42	2.33	1	1.33	1.25	0	0.47	1	1	1	1	2	4	1	1	1.67	2	1	2
Grammy_NOM	2022	dev	Ed Sheeran	Bad Habits	https://www.azlyrics.com/lyrics/edsheeran/badhabits.html	4	5	2	3.667		4	5	2	3.11	1.03	3.33	3.33	2.67	1.25	1.7	0.94	1.67	2	1	2	4	5	5	2	3.67	3	4	4
Grammy_ALT	2022	train	Ed Sheeran	Overpass Graffiti	https://www.azlyrics.com/lyrics/edsheeran/overpassgraffiti.html	4.33	4	5	4.443					4.44	0.57	4.33	4	5	0.47	1.41	0	3.67	4	2	5	5	5	5	5	4.67	4	5	5
Billboard	2018	train	Ed Sheeran	Perfect	https://www.azlyrics.com/lyrics/edsheeran/perfect.html	4	5	2	3.667		4	5	2	3.67	1.09	4	4	3	0.82	1.41	1.41	3.67	4	5	2	2.33	3	2	2	5	5	5	5
Grammy_ALT	2016	train	Ed Sheeran	Runaway	https://www.azlyrics.com/lyrics/edsheeran/runaway.html	5	4.33	4.67	4.667					4.67	0.27	5	4.33	4.67	0	0.94	0.47	4.67	5	5	4	4.33	5	3	5	5	5	5	5
Grammy_NOM	2013	test	Ed Sheeran	The A Team	https://www.azlyrics.com/lyrics/edsheeran/theateam.html	5	3.33	5	4.443					4.44	0.31	5	3.33	5	0	0.94	0	4	5	2	5	4.67	5	4	5	4.67	5	4	5
Grammy_NOM	2016	test	Ed Sheeran	Thinking Out Loud	https://www.azlyrics.com/lyrics/edsheeran/thinkingoutloud.html	4.67	4.33	3	4.000					4	0.54	4.67	4.33	3	0.47	0.94	1.41	4	5	5	2	3.33	5	3	2	4.67	4	5	5
Grammy_ALT	2013	train	Ed Sheeran	U.N.I.	https://www.azlyrics.com/lyrics/edsheeran/uni.html	5	4.67	4.33	4.667					4.67	0.27	5	4.67	4.33	0	0.47	0.47	4.67	5	5	4	4.33	5	4	4	5	5	5	5
Billboard	2001	train	Eden's Crush	Get Over Yourself	https://www.azlyrics.com/lyrics/edenscrush/getoveryourself.html	4	4	2.33	3.443					3.44	0.83	4	4	2.33	0.82	0.82	1.25	4.33	5	4	4	2.33	3	3	1	3.67	4	5	2
Billboard	1970	dev	Edison Lighthouse	Love Grows (Where My Rosemary Goes)	https://www.azlyrics.com/lyrics/edisonlighthouse/lovegrowswheremyrosemarygoes.html	4.67	2.33	3	3.333					3.33	0.72	4.67	2.33	3	0.47	1.25	1.63	4	5	2	5	2.33	5	1	1	3.67	4	4	3
Billboard	2011	train	Edward Maya featuring Vika Jigulina	Stereo Love	https://www.azlyrics.com/lyrics/edwardmaya/stereolove.html	3.33	2	1	2.110					2.11	0.31	3.33	2	1	0.47	0.82	0	1.67	3	1	1	2.33	3	3	1	2.33	4	2	1
Billboard	1986	train	El DeBarge	Who's Johnny	https://www.azlyrics.com/lyrics/eldebarge/whosjohnny.html	4.33	2.33	1.67	2.777					2.78	0.68	4.33	2.33	1.67	0.47	1.25	0.47	2.67	4	2	2	2	4	1	1	3.67	5	4	2
Billboard	1979	train	Electric Light Orchestra	Shine a Little Love	https://www.azlyrics.com/lyrics/electriclightorchestra/shinealittlelove.html	3.33	3	2	2.777					2.78	0.87	3.33	3	2	0.47	0.82	1.41	2.33	3	3	1	2	3	2	1	4	4	4	4
Billboard	2011	train	Eli Young Band	Crazy Girl	https://www.azlyrics.com/lyrics/eliyoungband/crazygirl.html	3	2.33	1	2.110					2.11	0.31	3	2.33	1	0.82	0.47	0	1.67	2	2	1	2.33	3	3	1	2.33	4	2	1
Grammy_NOM	2019	dev	Ella Mai	Boo'd Up	https://www.azlyrics.com/lyrics/ellamai/boodup.html	3.67	1.67	1.67	2.337					2.33	0.82	3.67	1.67	1.67	1.25	0.94	0.94	1.33	2	1	1	2.33	5	1	1	3.33	4	3	3
Grammy_ALT	2019	dev	Ella Mai	Trip	https://www.azlyrics.com/lyrics/ellamai/trip.html	3	1.67	1.33	2.000					2	0.47	3	1.67	1.33	1.41	0.94	0.47	1.33	2	1	1	2.33	5	1	1	2.33	2	3	2
Billboard	2019	dev	Ellie Goulding and Diplo featuring Swae Lee	Close to Me	https://www.azlyrics.com/lyrics/elliegoulding/closetome.html	3	1	2	2.000		3	1	2	2.56	1.03	3.33	2.33	2	1.25	1.25	0.82	2	3	1	2	1.67	2	2	1	4	5	4	3
Billboard	1995	dev	Elton John	Believe	https://www.azlyrics.com/lyrics/eltonjohn/believe.html	2	1	2.33	1.777					1.78	0.42	2	1	2.33	0	0	1.25	1.33	2	1	1	1.67	2	1	2	2.33	2	1	4
Billboard	1972	dev	Elton John	Rocket Man	https://www.azlyrics.com/lyrics/eltonjohn/rocketmanithinkitsgoingtobealonglongtime.html	3.67	4.33	4	4.000					4	0.72	3.67	4.33	4	1.25	0.47	1.41	5	5	5	5	3.33	4	4	2	3.67	2	4	5
Billboard	1965	train	Elvis Presley	Crying in the Chapel	https://www.azlyrics.com/lyrics/elvispresley/cryinginthechapel.html	2	1.667	2.667	2.111					2.111	0.416	2	1.667	2.667	0	0.943	0.471	1.67	2	1	2	2.67	2	3	3	2	2	1	3
Billboard	1962	test	Elvis Presley	Good Luck Charm	https://www.azlyrics.com/lyrics/elvispresley/goodluckcharm.html	2	1.333	3.333	2.222					2.222	0.157	2	1.333	3.333	0.816	0.471	1.7	2.33	2	1	4	2	3	2	1	2.33	1	1	5
Billboard	1960	train	Elvis Presley	It's Now or Never	https://www.azlyrics.com/lyrics/elvispresley/itsnowornever.html	2.667	1.667	1	1.778					1.778	0.157	2.667	1.667	1	0.471	0.471	0	2	3	2	1	1.67	3	1	1	1.67	2	2	1
Billboard	1960	train	Elvis Presley	Stuck on You	https://www.azlyrics.com/lyrics/elvispresley/stuckonyou.html	2.333	2	2.333	2.222					2.222	0.314	2.333	2	2.333	0.943	0.816	1.247	2.67	3	3	2	2	3	2	1	2	1	1	4
Billboard	1969	train	Elvis Presley	Suspicious Minds	https://www.azlyrics.com/lyrics/elvispresley/suspiciousminds.html	2.333	1.333	1.333	1.666					1.667	0.471	2.333	1.333	1.333	0.471	0.471	0.471	2.33	3	2	2	1.33	2	1	1	1.33	2	1	1
Grammy_NOM	2004	dev	Eminem	Lose Yourself	https://www.azlyrics.com/lyrics/eminem/loseyourself.html	4.67	5	5	4.890	0				4.89	0.16	4.67	5	5	0.47	0	0	4.67	4	5	5	5	5	5	5	5	5	5	5
Grammy_NOM	2011	train	Eminem	Love the Way You Lie	https://www.azlyrics.com/lyrics/eminem/lovethewayyoulie.html	5	3.67	3	3.890					3.89	0.87	5	3.67	3	0	1.25	1.41	4.67	5	5	4	2.67	5	2	1	4.33	5	4	4
Grammy_ALT	2011	test	Eminem	Not Afraid	https://www.azlyrics.com/lyrics/eminem/notafraid.html	5	3	2	3.333		5	3	2	3.67	1.41	4.33	3.67	3	0.94	1.89	1.41	4.67	5	5	4	1.67	3	1	1	4.67	5	5	4
Grammy_ALT	2004	train	Eminem	R.A.K.I.M.	https://www.azlyrics.com/lyrics/rakim/rakim.html	4.33	2	3.33	3.220					3.22	0.87	4.33	2	3.33	0.47	1.41	1.7	3.67	5	1	5	2	4	1	1	4	4	4	4
Billboard	2003	dev	Eminem	Sing for the Moment	https://www.azlyrics.com/lyrics/eminem/singforthemoment.html	4.67	4.67	5	4.780	0				4.78	0.31	4.67	4.67	5	0.47	0.47	0	4.33	4	4	5	5	5	5	5	5	5	5	5
Billboard	2020	train	Eminem featuring Juice Wrld	Godzilla	https://www.azlyrics.com/lyrics/eminem/godzilla.html	5	4	4.67	4.557					4.56	0.42	5	4	4.67	0	0.82	0.47	4	5	3	4	4.67	5	4	5	5	5	5	5
Billboard	1979	train	England Dan & John Ford Coley	Love Is the Answer	https://www.azlyrics.com/lyrics/englanddanjohnfordcoley/loveistheanswer.html	1	1.33	2	1.443					1.44	0.42	1	1.33	2	0	0.47	1.41	1	1	1	1	1.33	1	2	1	2	1	1	4
Billboard	1988	test	Eric Carmen	Hungry Eyes	https://www.azlyrics.com/lyrics/ericcarmen/hungryeyes.html	2.67	1.67	1	1.780					1.78	0.42	2.67	1.67	1	0.47	0.94	0	1.33	2	1	1	2.33	3	3	1	1.67	3	1	1
Billboard	2012	train	Eric Church	Springsteen	https://www.azlyrics.com/lyrics/ericchurch/springsteen.html	5	4.33	4.33	4.553					4.56	0.42	5	4.33	4.33	0	0.47	0.94	5	5	5	5	4	5	4	3	4.67	5	4	5
Billboard	1974	dev	Eric Clapton	I Shot the Sheriff	https://www.azlyrics.com/lyrics/ericclapton/ishotthesheriff.html	4.33	4.67	3	4.000					4	0.82	4.33	4.67	3	0.47	0.47	1.63	4	4	5	3	3	4	4	1	5	5	5	5
Grammy_NOM	1993	dev	Eric Clapton	Tears in Heaven	https://www.azlyrics.com/lyrics/ericclapton/tearsinheaven.html	2.67	1.67	2.33	2.223					2.22	0.16	2.67	1.67	2.33	0.94	0.47	1.25	2.33	2	1	4	2.33	4	2	1	2	2	2	2
Grammy_ALT	1993	test	Eric Clapton	Running On Faith	https://www.azlyrics.com/lyrics/ericclapton/runningonfaith.html	2.33	1	1	1.443					1.44	0.42	2.33	1	1	1.25	0	0	1	1	1	1	2	4	1	1	1.33	2	1	1
Billboard	1997	train	Erykah Badu	On & On	https://www.azlyrics.com/lyrics/erykahbadu/onandon.html	4	3	4	3.667					3.67	0.98	4	3	4	0.82	1.41	0.82	3.33	4	2	4	5	5	5	5	2.67	3	2	3
Grammy_NOM	2009	test	Estelle	American Boy	https://www.azlyrics.com/lyrics/estelle/americanboy.html	5	5	5	5.000	0				5	0	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
Grammy_ALT	2009	train	Estelle	Come Over	https://www.azlyrics.com/lyrics/estelle/comeover.html	4	3	3	3.333		4	3	3	2.89	1.5	3.33	2.67	2.67	1.7	1.7	1.7	1	1	1	1	3	5	2	2	4.67	4	5	5
Billboard	2006	train	Evanescence	Call Me When You're Sober	https://www.azlyrics.com/lyrics/evanescence/callmewhenyouresober.html	4.33	2	1	2.443					2.44	0.16	4.33	2	1	0.47	0.82	0	2.33	4	2	1	2.67	4	3	1	2.33	5	1	1
Grammy_NOM	2001	test	Faith Hill	Breathe	https://www.azlyrics.com/lyrics/faithhill/breathe.html	4	1	1	2.000		4	1	1	3	1.19	3.67	2.33	3	1.25	1.25	1.41	1.33	2	1	1	3.67	5	2	4	4	4	4	4
Grammy_ALT	2001	dev	Faith Hill	There Will Come a Day	https://www.azlyrics.com/lyrics/faithhill/therewillcomeaday.html	1.67	2	4.33	2.667					2.67	0.98	1.67	2	4.33	0.94	1.41	0.94	2.33	1	1	5	4	3	4	5	1.67	1	1	3
Billboard	2015	test	Fall Out Boy	Centuries	https://www.azlyrics.com/lyrics/falloutboy/centuries.html	3.33	2	2.67	2.667					2.67	0.98	3.33	2	2.67	1.7	1.41	0.94	3	4	1	4	3.67	5	4	2	1.33	1	1	2
Billboard	2007	test	Fall Out Boy	Thnks fr th Mmrs	https://www.azlyrics.com/lyrics/falloutboy/thnksfrthmmrs.html	4.33	4.33	4	4.220					4.22	0.42	4.33	4.33	4	0.47	0.47	0.82	3.67	4	4	3	4.33	5	4	4	4.67	4	5	5
Billboard	2002	train	Fat Joe featuring Ashanti	What's Luv?	https://www.azlyrics.com/lyrics/fatjoe/whatsluv.html	3	1	2	2.000		3	1	2	3.11	1.34	3.67	2.33	3.33	1.25	1.89	1.7	2.33	2	1	4	2	4	1	1	5	5	5	5
Billboard	2015	train	Fetty Wap	Trap Queen	https://www.azlyrics.com/lyrics/fettywap/trapqueen.html	4.67	4.33	4	4.333					4.33	0.72	4.67	4.33	4	0.47	0.47	1.41	4.67	5	4	5	3.33	4	4	2	5	5	5	5
Billboard	2019	train	Flipp Dinero	Leave Me Alone	https://www.azlyrics.com/lyrics/flippdinero/leavemealone.html	3.67	2.67	3	3.113					3.11	0.57	3.67	2.67	3	0.47	0.94	0.82	3.33	4	2	4	2.33	3	2	2	3.67	4	4	3
Billboard	2009	train	Flo Rida	Right Round	https://www.azlyrics.com/lyrics/florida/rightround.html	4	4	4.33	4.110					4.11	0.63	4	4	4.33	0.82	0.82	0.47	3.67	3	4	4	3.67	4	3	4	5	5	5	5
Billboard	2008	train	Flo Rida featuring will.i.am	In the Ayer	https://www.azlyrics.com/lyrics/florida/intheayer.html	3.33	4	3.67	3.667					3.67	0.82	3.33	4	3.67	0.47	0.82	1.25	3.67	3	4	4	2.67	3	3	2	4.67	4	5	5
Billboard	2003	train	Floetry	Say Yes	https://www.azlyrics.com/lyrics/floetry/sayyes.html	2.33	2	1	1.777					1.78	0.42	2.33	2	1	0.47	0.82	0	1.33	2	1	1	2.33	3	3	1	1.67	2	2	1
Billboard	2018	train	Florida Georgia Line	Simple	https://www.azlyrics.com/lyrics/floridageorgialine/simple.html	4.33	3.33	3.67	3.777					3.78	0.42	4.33	3.33	3.67	0.47	0.47	0.94	3.33	4	3	3	3.67	4	4	3	4.33	5	3	5
Billboard	2019	train	Florida Georgia Line	Talk You Out of It	https://www.azlyrics.com/lyrics/floridageorgialine/talkyououtofit.html	4	3.67	3	3.557					3.56	0.57	4	3.67	3	0	0.47	1.41	3.33	4	4	2	3	4	3	2	4.33	4	4	5
Billboard	1977	train	Foreigner	Feels Like the First Time	https://www.azlyrics.com/lyrics/foreigner/feelslikethefirsttime.html	2.67	1.67	3	2.447					2.44	0.57	2.67	1.67	3	0.94	0.47	1.41	1.67	2	1	2	2.67	4	2	2	3	2	2	5
Billboard	1978	train	Foreigner	Hot Blooded	https://www.azlyrics.com/lyrics/foreigner/hotblooded.html	3	2	2	2.333					2.33	0.72	3	2	2	0.82	0.82	0.82	1.67	3	1	1	2	2	2	2	3.33	4	3	3
Billboard	1988	dev	Foreigner	I Don't Want to Live Without You	https://www.azlyrics.com/lyrics/foreigner/idontwanttolivewithoutyou.html	2.67	1	1	1.557					1.56	0.31	2.67	1	1	0.94	0	0	1.33	2	1	1	1.33	2	1	1	2	4	1	1
Grammy_NOM	1986	train	Foreigner	I Want to Know What Love Is	https://www.azlyrics.com/lyrics/foreigner/iwanttoknowwhatloveis.html	4	3	2	3.000		4	3	2	2.89	1.23	3.67	2.67	2.33	1.25	1.7	1.25	1.33	2	1	1	3	5	2	2	4.33	4	5	4
Grammy_ALT	1986	dev	Foreigner	That was Yesterday	https://www.azlyrics.com/lyrics/foreigner/thatwasyesterday.html	3	2	1	2.000		3	2	1	3.33	1.44	4	3.67	2.33	1.41	1.89	1.25	1.33	2	1	1	4	5	5	2	4.67	5	5	4
Grammy_NOM	1961	train	Frank Sinatra	Nice n Easy	https://www.azlyrics.com/lyrics/franksinatra/niceneasy.html	1.333	1.333	1	1.222					1.222	0.157	1.333	1.333	1	0.471	0.471	0	1	1	1	1	1.33	2	1	1	1.33	1	2	1
Billboard	1966	train	Frank Sinatra	Strangers in the Night	https://www.azlyrics.com/lyrics/franksinatra/strangersinthenight.html	2.333	1.667	1.667	1.889					1.889	0.157	2.333	1.667	1.667	0.943	0.943	0.471	2	3	1	2	1.67	3	1	1	2	1	3	2
Grammy_ALT	1961	train	Frank Sinatra	She's Funny That Way	https://www.azlyrics.com/lyrics/franksinatra/shesfunnythatway.html	3.333	1.333	1	1.889					1.889	0.416	3.333	1.333	1	0.943	0.471	0	2	4	1	1	1.33	2	1	1	2.33	4	2	1
Billboard	1975	test	Frankie Valli	My Eyes Adored You	https://www.azlyrics.com/lyrics/frankievalli/myeyesadoredyou.html	4.67	4.33	4.67	4.557					4.56	0.63	4.67	4.33	4.67	0.47	0.94	0.47	3.67	4	3	4	5	5	5	5	5	5	5	5
Grammy_ALT	2013	dev	Fun featuring Janelle Monáe	Some Nights	https://www.azlyrics.com/lyrics/fun/somenights.html	4.33	2.67	2.67	3.223					3.22	0.63	4.33	2.67	2.67	0.47	0.94	1.25	3.67	5	2	4	2.33	4	2	1	3.67	4	4	3
Grammy_NOM	2013	train	Fun featuring Janelle Monáe	We Are Young	https://www.azlyrics.com/lyrics/fun/weareyoung.html	4.67	3.67	4.67	4.337					4.33	0.47	4.67	3.67	4.67	0.47	1.25	0.47	4	4	4	4	4	5	2	5	5	5	5	5
Billboard	2016	train	Future	Wicked	https://www.azlyrics.com/lyrics/future/wicked.html	4	2	3	3.000		4	2	3	3.33	1.19	3.67	2.67	3.67	0.47	1.25	1.89	4	4	3	5	1.67	3	1	1	4.33	4	4	5
Billboard	2021	train	Gabby Barrett	The Good Ones	https://www.azlyrics.com/lyrics/gabbybarrett/thegoodones.html	4	1.33	2	2.443					2.44	0.16	4	1.33	2	0.82	0.47	0.82	2.33	3	1	3	2.67	5	2	1	2.33	4	1	2
Billboard	1976	dev	Gary Wright	Love Is Alive	https://www.azlyrics.com/lyrics/garywright/loveisalive.html	2.33	1.33	1.33	1.663					1.67	0.47	2.33	1.33	1.33	0.47	0.47	0.47	1.33	2	1	1	1.33	2	1	1	2.33	3	2	2
Billboard	2012	train	Gavin DeGraw	Not Over You	https://www.azlyrics.com/lyrics/gavindegraw/notoveryou.html	4.33	3	2.33	3.220					3.22	0.87	4.33	3	2.33	0.47	1.41	1.25	2	4	1	1	3.67	5	4	2	4	4	4	4
Grammy_NOM	2023	train	Gayle	ABCDEFU	https://www.azlyrics.com/lyrics/gayle/abcdefu.html	5	4.67	3	4.223					4.22	0.42	5	4.67	3	0	0.47	1.41	4.33	5	4	4	3.67	5	5	1	4.67	5	5	4
Grammy_ALT	2023	test	Gayle	EZ	https://www.azlyrics.com/lyrics/gayle/ez.html	4.67	3.33	2.33	3.443					3.44	0.68	4.67	3.33	2.33	0.47	1.25	0.94	4.33	5	5	3	2.67	5	2	1	3.33	4	3	3
Billboard	1992	dev	Genesis	I Can't Dance	https://www.azlyrics.com/lyrics/genesis/icantdance.html	4	2.33	4.33	3.553					3.56	0.42	4	2.33	4.33	0	1.25	0.47	3	4	1	4	4	4	4	4	3.67	4	2	5
Billboard	1988	test	George Michael	Kissing a Fool	https://www.azlyrics.com/lyrics/georgemichael/kissingafool.html	3	3.33	2	2.777					2.78	0.57	3	3.33	2	0.82	0.47	0.82	2	2	3	1	3	4	3	2	3.33	3	4	3
Billboard	1998	train	Gerald Levert	Thinkin' Bout It	https://www.azlyrics.com/lyrics/geraldlevert/thinkinboutit.html	4	2	1	2.333		4	2	1	2.89	1.03	4.33	2.33	2	0.47	1.25	1.41	2	4	1	1	2.33	4	2	1	4.33	5	4	4
